Data;Nível (m);Volume (hm³);Volume (%);Q Jusante (m³/s);Q Natural (m³/s);Chuva (mm)
24/08/2023;636,64;54,46236869;61,31680345;12,01;14,16476224;0
23/08/2023;636,65;54,55486748;61,42094379;15,59;14,31066562;0
22/08/2023;636,69;54,92536488;61,83807064;20,37;16,41561174;0
21/08/2023;636,76;55,57568025;62,57023233;21,64;14,23776667;0
20/08/2023;636,85;56,41547212;63,51571734;21,64;15,33483516;0,2
19/08/2023;636,94;57,25944415;64,46590861;22,29;17,11899784;2,2
18/08/2023;637,02;58,01319362;65,31452223;21,59;17,45977732;0
17/08/2023;637,09;58,67549737;66,06018111;21,6;16,97123993;0
16/08/2023;637,16;59,34041536;66,80878325;21,59;18,45822001;0,2
15/08/2023;637,22;59,9124447;67,45280612;12,21;19,67869922;0
14/08/2023;637,18;59,53087559;67,0232141;12,04;15,5252025;0,2
13/08/2023;637,17;59,43561851;66,91596832;12,05;15,99457827;0,8
12/08/2023;637,16;59,34041536;66,80878325;12,05;19,05007783;1,8
11/08/2023;637,13;59,0551288;66,48759156;12,06;19,55097224;0,2
10/08/2023;637,09;58,67549737;66,06018111;12,07;21,78283528;3,8
09/08/2023;637,03;58,10764933;65,42086579;12,06;15,9297674;2
08/08/2023;637,02;58,01319362;65,31452223;12,03;14,0631026;1,4
07/08/2023;637,03;58,10764933;65,42086579;15,64;15,28961973;0,2
06/08/2023;637,06;58,39133425;65,74025426;17,35;14,98009224;0
05/08/2023;637,11;58,86520609;66,27376588;20,34;14,37693082;0,2
04/08/2023;637,2;59,72155184;67,23788818;21,6;16,29305782;0,2
03/08/2023;637,28;60,48642877;68,09902972;21,58;16,38328652;0
02/08/2023;637,35;61,15856836;68,85576235;21,58;17,67302274;0
01/08/2023;637,41;61,7368416;69,50681494;21,57;17,70306219;0
31/07/2023;637,47;62,31711936;70,16012434;21,55;22,14985691;0,2
30/07/2023;637,49;62,51099345;70,37839872;21,54;17,73806477;0,8
29/07/2023;637,55;63,0939684;71,03474476;21,53;16,62158592;2,4
28/07/2023;637,62;63,77668686;71,80338768;21,51;16,46432934;0
27/07/2023;637,69;64,46220871;72,5751868;21,5;16,65476322;0
26/07/2023;637,76;65,15055896;73,3501703;21,49;17,60661368;0
25/07/2023;637,82;65,7428436;74,01699772;21,48;16,28710913;0
24/07/2023;637,89;66,43651299;74,7979698;21,47;17,43795613;0,2
23/07/2023;637,95;67,0333939;75,46997197;21,47;16,82847549;0
22/07/2023;638,02;67,73246879;76,25702986;22,19;20,24964901;0
21/07/2023;638,07;68,23361047;76,82124341;22,48;22,53222383;0,2
20/07/2023;638,1;68,53502086;77,16058821;21,75;20,36659296;3,2
19/07/2023;638,14;68,93775174;77,61400533;21,44;16,96246404;2,4
18/07/2023;638,2;69,54367978;78,29619325;21,41;17,63683114;0
17/07/2023;638,26;70,1518199;78,98087167;21,4;15,6770782;0
16/07/2023;638,33;70,86413363;79,7828346;21,4;16,6845906;0
15/07/2023;638,4;71,57950484;80,58823982;21,39;16,60449251;0
14/07/2023;638,47;72,29795864;81,39711559;21,37;18,13952711;0,2
13/07/2023;638,52;72,81304113;81,97702448;21,38;16,91973359;0
12/07/2023;638,58;73,43324594;82,675286;21,38;18,62313124;0,2
11/07/2023;638,63;73,95184887;83,2591584;21,72;19,38966083;2,6
10/07/2023;638,68;74,47206666;83,8448489;24,39;20,26530243;0,6
09/07/2023;638,74;75,09847249;84,55009188;26,14;17,67961757;9
08/07/2023;638,83;76,0425007;85,61293204;25,64;18,07727641;0,2
07/07/2023;638,92;76,99187977;86,68179648;22,16;17,57015251;0
06/07/2023;638,98;77,62779824;87,39774933;22,47;16,98659716;0
05/07/2023;639,05;78,37276002;88,23646927;16,44;17,31111541;0,4
04/07/2023;639,07;78,58621421;88,47678803;15,9;17,6659657;0
03/07/2023;639,08;78,69304299;88,5970619;15,88;18,06394989;0,2
02/07/2023;639,09;78,79993968;88,7174122;15,83;21,85172441;0
01/07/2023;639,07;78,58621421;88,47678803;15,82;23,06680655;0,2
30/06/2023;639,04;78,26613447;88,11642423;15,85;18,78714804;2,8
29/06/2023;639,05;78,37276002;88,23646927;15,55;16,45056541;0
28/06/2023;639,07;78,58621421;88,47678803;16,21;17,56576559;0,2
27/06/2023;639,09;78,79993968;88,7174122;11,94;15,71946;0,2
26/06/2023;639,09;78,79993968;88,7174122;11,96;16,96256011;0,2
25/06/2023;639,08;78,69304299;88,5970619;11,97;18,43698365;0
24/06/2023;639,06;78,47945324;88,35659051;14,67;19,47107524;0,2
23/06/2023;639,05;78,37276002;88,23646927;18,73;18,13610111;0,2
22/06/2023;639,08;78,69304299;88,5970619;21,15;19,14551619;0
21/06/2023;639,12;79,12103782;89,07892259;21,42;19,30743882;0
20/06/2023;639,16;79,55012365;89,56201159;21,4;18,54170092;0,4
19/06/2023;639,21;80,08802232;90,16760823;22,87;20,53392839;0
18/06/2023;639,25;80,51958009;90,65348028;23,41;22,0029942;0
17/06/2023;639,29;80,95224415;91,14059785;24,03;27,95588;0
16/06/2023;639,29;80,95224415;91,14059785;21,61;35,91362355;11,8
15/06/2023;639,2;79,98030518;90,0463342;23,13;34,34899227;11,4
14/06/2023;639,13;79,22820681;89,19957948;23,57;24,92501809;19,4
13/06/2023;639,14;79,33544407;89,32031322;22,1;15,98980351;3,8
12/06/2023;639,21;80,08802232;90,16760823;22,35;20,23240839;0,2
11/06/2023;639,25;80,51958009;90,65348028;22,31;17,83885273;0,2
10/06/2023;639,31;81,1689925;91,38462536;22,33;18,25699965;0
09/06/2023;639,37;81,8209099;92,11859071;22,34;18,45214634;0,4
08/06/2023;639,42;82,3660994;92,73239577;22,29;19,53169828;0
07/06/2023;639,47;82,9130487;93,34818211;23,76;19,07325634;0,2
06/06/2023;639,53;83,57172374;94,08975558;23,48;19,0129493;0
05/06/2023;639,59;84,23296201;94,83421488;23,17;19,35482106;0,2
04/06/2023;639,64;84,78596339;95,45681499;23,17;19,98827476;0
03/06/2023;639,69;85,34076503;96,08144194;20,84;23,57058722;0
02/06/2023;639,7;85,45194219;96,20661146;21,24;27,00910785;0,6
01/06/2023;639,68;85,22966023;95,9563539;21,31;27,98238743;3,8
31/05/2023;639,65;84,8967794;95,5815779;15,56;25,94088167;10,2
30/05/2023;639,59;84,23296201;94,83421488;14,99;22,53122256;1,4
29/05/2023;639,55;83,79185091;94,33758715;12,44;16,36847655;12,4
28/05/2023;639,54;83,68175169;94,21363124;14,49;17,92138;0
27/05/2023;639,54;83,68175169;94,21363124;15,32;18,04066345;0,2
26/05/2023;639,55;83,79185091;94,33758715;15,86;17,91964768;0
25/05/2023;639,56;83,90202148;94,46162338;15,9;18,58520102;0
24/05/2023;639,57;84,01226347;94,58574003;15,5;17,04294874;0,2
23/05/2023;639,59;84,23296201;94,83421488;15,78;18,55285602;0,2
22/05/2023;639,6;84,3434187;94,95857325;16,1;18,38464596;0
21/05/2023;639,61;84,45394712;95,08301237;17,52;19,84843507;0
20/05/2023;639,62;84,56454732;95,20753231;17,44;18,47040402;0
19/05/2023;639,64;84,78596339;95,45681499;17,37;19,25787726;0
18/05/2023;639,65;84,8967794;95,5815779;17,32;17,80589077;0,2
17/05/2023;639,67;85,11862775;95,83134728;18,3;19,08197673;0
16/05/2023;639,69;85,34076503;96,08144194;14,59;17,72467;0,2
15/05/2023;639,69;85,34076503;96,08144194;14,21;18,61098508;0
14/05/2023;639,68;85,22966023;95,9563539;14,21;18,3090082;0,2
13/05/2023;639,67;85,11862775;95,83134728;12,12;20,28605127;3,2
12/05/2023;639,63;84,67521938;95,33213315;11,38;20,38202443;0
11/05/2023;639,58;84,12257695;94,70993716;14,53;21,51387776;1,4
10/05/2023;639,55;83,79185091;94,33758715;15,67;19,51335767;2
09/05/2023;639,546;83,74780266;94,28799515;19,35;19,57842103;0
08/05/2023;639,57;84,01226347;94,58574003;20,42;19,61102476;0
07/05/2023;639,6;84,3434187;94,95857325;20,41;20,05540434;0
06/05/2023;639,63;84,67521938;95,33213315;20,4;21,08016797;0
05/05/2023;639,65;84,8967794;95,5815779;20,42;19,75421257;0
04/05/2023;639,68;85,22966023;95,9563539;20,41;22,12285492;0,2
03/05/2023;639,69;85,34076503;96,08144194;20,42;20,50455513;2,8
02/05/2023;639,72;85,67451396;96,45719529;20,37;21,99953684;0
01/05/2023;639,74;85,89737612;96,70810607;20,37;22,60862588;0
30/04/2023;639,75;86,00891628;96,83368427;20,39;22,43368;0,6
29/04/2023;639,75;86,00891628;96,83368427;20,38;22,51576307;2,4
28/04/2023;639,76;86,12052927;96,95934446;22,84;22,76051421;4,8
27/04/2023;639,78;86,34397399;97,21091112;25,05;22,53320709;0,2
26/04/2023;639,82;86,79174051;97,7150319;21,65;21,59288919;0
25/04/2023;639,84;87,01606349;97,96758735;23,51;23,38569721;0,6
24/04/2023;639,86;87,24068041;98,22047373;25,25;22,39465119;0
23/04/2023;639,9;87,69079839;98,72724191;27,14;23,80876879;0
22/04/2023;639,95;88,25510972;99,36257541;30,11;27,86679237;0
