Local;Data;Mínima;Média;Máxima;Mínima;Média;Máxima;Precipitação (mm)
Juquitiba;10/08/2010;7.3;10.5;13.7;82.2;89.9;97.6;1.27
Juquitiba;11/08/2010;11.97;13.765;15.56;84;90.8;97.6;0.508
Juquitiba;12/08/2010;12.51;14.875;17.24;69.3;82.75;96.2;0.254
Juquitiba;13/08/2010;11.5;18.59;25.68;38.17;66.985;95.8;0
Juquitiba;14/08/2010;10.56;18.125;25.69;34.02;61.06;88.1;0
Juquitiba;15/08/2010;8.49;10.76;13.03;78.2;85.8;93.4;0
Juquitiba;16/08/2010;7.02;10;12.98;71.9;84.1;96.3;1.524
Juquitiba;17/08/2010;8.23;12.06;15.89;53.42;74.66;95.9;0
Juquitiba;18/08/2010;7.23;11.53;15.83;58.25;77.375;96.5;0
Juquitiba;19/08/2010;3.356;11.918;20.48;38.65;68.175;97.7;0
Juquitiba;20/08/2010;3.96;14.385;24.81;26.72;62.31;97.9;0.254
Juquitiba;21/08/2010;5.429;163.595;27.29;18.75;57.675;96.6;0
Juquitiba;22/08/2010;7.43;17.225;27.02;32.2;65.05;97.9;0.254
Juquitiba;23/08/2010;7.23;18.02;28.81;22.16;60.03;97.9;0
Juquitiba;24/08/2010;7.43;18.22;29.01;19.28;57.59;95.9;0
Juquitiba;25/08/2010;7.9;18.925;29.95;19.41;57.255;95.1;0
Juquitiba;26/08/2010;8.97;20.26;31.55;18.54;56.97;95.4;0
Juquitiba;27/08/2010;8.23;19.625;31.02;16.73;56.015;95.3;0.254
Juquitiba;28/08/2010;8.9;20.025;31.15;17.8;56.45;95.1;0
Juquitiba;29/08/2010;10.16;17.99;25.82;48.35;73.175;98;0
Juquitiba;30/08/2010;10.56;20.69;30.82;22.49;60.245;98;0
Juquitiba;31/08/2010;13.96;16.725;19.49;62.52;77.01;91.5;0
Juquitiba;01/09/2010;11.43;19.095;26.76;46.74;72.47;98.2;0
Juquitiba;02/09/2010;9.96;19.65;29.34;28.32;63.16;98;0
Juquitiba;03/09/2010;10.7;20.555;30.41;26.57;61.235;95.9;0
Juquitiba;04/09/2010;9.96;20.59;31.22;21.69;58.795;95.9;0
Juquitiba;05/09/2010;10.9;20.99;31.08;18.01;57.105;96.2;0
Juquitiba;06/09/2010;11.36;12.99;14.62;75.7;85.95;96.2;0.762
Juquitiba;07/09/2010;11;13.1;15.2;;0;;0.6
Juquitiba;08/09/2010;13.03;14.965;16.9;90.3;93.9;97.5;3.556
Juquitiba;09/09/2010;10.96;14.16;17.36;77.2;87.25;97.3;1.524
Juquitiba;10/09/2010;12.04;15.86;19.68;62.3;79.6;96.9;0.254
Juquitiba;11/09/2010;10.56;15.385;20.21;61.11;79.405;97.7;0
Juquitiba;12/09/2010;10.56;20.155;29.75;18.61;58.205;97.8;0
Juquitiba;13/09/2010;9.42;18.19;26.96;44.06;70.93;97.8;0.254
Juquitiba;14/09/2010;10.57;20.66;30.75;14.06;55.43;96.8;0
Juquitiba;15/09/2010;16.23;22.96;29.69;22.02;55.41;88.8;0
Juquitiba;16/09/2010;13.56;15.2;16.84;86;90.65;95.3;0
Juquitiba;17/09/2010;13.09;15.83;18.57;77.5;87.5;97.5;0.254
Juquitiba;18/09/2010;12.5;20.835;29.17;46;71.8;97.6;1.016
Juquitiba;19/09/2010;10.96;12.73;14.5;82.2;89.1;96;1.524
Juquitiba;20/09/2010;11.56;13.53;15.5;79.2;87.2;95.2;0
Juquitiba;21/09/2010;11.76;16.455;21.15;67.58;82.64;97.7;3.81
Juquitiba;22/09/2010;12.9;20.33;27.76;47.27;72.435;97.6;1.524
Juquitiba;23/09/2010;14.51;22.395;30.28;37.42;67.31;97.2;0.254
Juquitiba;24/09/2010;15.5;22.525;29.55;47.99;72.545;97.1;0.508
Juquitiba;25/09/2010;13.36;17.295;21.23;67.73;82.115;96.5;2.286
Juquitiba;26/09/2010;13.9;16.425;18.95;75.3;85.9;96.5;23.37
Juquitiba;27/09/2010;14.3;17.525;20.75;76;86.65;97.3;14.99
Juquitiba;28/09/2010;15.7;18.095;20.49;78.7;87.95;97.2;33.53
Juquitiba;29/09/2010;15.43;17.76;20.09;80.4;89.05;97.7;2.032
Juquitiba;30/09/2010;15.56;20.155;24.75;61.73;79.715;97.7;1.27
Juquitiba;01/10/2010;17.36;21.625;25.89;62.2;79.3;96.4;0.254
Juquitiba;02/10/2010;16.57;18.795;21.02;85.1;91.4;97.7;8.13
Juquitiba;03/10/2010;12.56;18.095;23.63;73.1;85.1;97.1;6.858
Juquitiba;04/10/2010;12.23;13.46;14.69;89.8;93.45;97.1;2.286
Juquitiba;05/10/2010;13.23;15.165;17.1;82.4;89.65;96.9;0
Juquitiba;06/10/2010;13.9;16.99;20.08;75.1;85.9;96.7;0
Juquitiba;07/10/2010;13.49;19.59;25.69;54.31;76.055;97.8;0
Juquitiba;08/10/2010;15.9;21.205;26.51;54.25;74.075;93.9;19.3
Juquitiba;09/10/2010;12.76;18.655;24.55;34.35;64.725;95.1;0.508
Juquitiba;10/10/2010;11.7;15.26;18.82;68.13;82.415;96.7;5.842
Juquitiba;11/10/2010;10.7;13.835;16.97;69.68;82.94;96.2;0.254
Juquitiba;12/10/2010;8.56;13.22;17.88;62.57;79.785;97;0
Juquitiba;13/10/2010;6.822;12.586;18.35;44.95;71.125;97.3;0
Juquitiba;14/10/2010;10.18;15.095;20.01;54.46;74.28;94.1;0
Juquitiba;15/10/2010;14.7;19.13;23.56;59.13;77.965;96.8;5.842
Juquitiba;16/10/2010;16.03;21.295;26.56;56.38;76.49;96.6;20.83
Juquitiba;17/10/2010;16.76;23.085;29.41;44.51;70.505;96.5;5.334
Juquitiba;18/10/2010;15.56;18.455;21.35;77.6;87.35;97.1;20.83
Juquitiba;19/10/2010;11.69;15.785;19.88;78.5;87.8;97.1;15.24
Juquitiba;20/10/2010;10.56;16.325;22.09;51.04;73.42;95.8;0
Juquitiba;21/10/2010;11.57;17.155;22.74;44.47;68.685;92.9;0
Juquitiba;22/10/2010;11.9;18.5;25.1;;0;;0
Juquitiba;23/10/2010;13.4;20.3;27.2;;0;;0.5
Juquitiba;24/10/2010;16.3;19.35;22.4;;0;;8.1
Juquitiba;25/10/2010;14;16.9;19.8;;0;;0
Juquitiba;26/10/2010;15.3;21.5;27.7;;0;;9.4
Juquitiba;27/10/2010;13.09;15.89;18.69;84.4;89.95;95.5;2.54
Juquitiba;28/10/2010;9.56;15.72;21.88;57.46;77.43;97.4;0
Juquitiba;29/10/2010;10.56;18.76;26.96;33.01;65.555;98.1;0
Juquitiba;30/10/2010;12.49;20.76;29.03;39.71;68.905;98.1;0
Juquitiba;31/10/2010;13.96;16.735;19.51;79.9;88.3;96.7;17.27
Juquitiba;01/11/2010;16.23;20.855;25.48;56.71;76.905;97.1;0.254
Juquitiba;02/11/2010;10.49;17.185;23.88;53.64;75.37;97.1;0.254
Juquitiba;03/11/2010;11.83;18.29;24.75;33.88;65.74;97.6;0
Juquitiba;04/11/2010;12.43;19.195;25.96;46.47;72.035;97.6;0
Juquitiba;05/11/2010;15.71;21.465;27.22;43.33;69.315;95.3;1.524
Juquitiba;06/11/2010;16.7;23.325;29.95;37.28;66.89;96.5;11.43
Juquitiba;07/11/2010;11.76;15.56;19.36;80.6;89.15;97.7;5.842
Juquitiba;08/11/2010;12.43;18.855;25.28;49.88;73.54;97.2;0.254
Juquitiba;09/11/2010;15.16;22.15;29.14;44.18;70.44;96.7;0
Juquitiba;10/11/2010;17.88;24.91;31.94;36.48;65.99;95.5;21.59
Juquitiba;11/11/2010;12.76;17.525;22.29;78;87.4;96.8;4.826
Juquitiba;12/11/2010;12.76;14.295;15.83;77;86.65;96.3;0.254
Juquitiba;13/11/2010;13.29;15.09;16.89;78.7;86.05;93.4;0
Juquitiba;14/11/2010;13.09;14.99;16.89;77.9;86.6;95.3;0
Juquitiba;15/11/2010;12.36;17.42;22.48;64.83;80.765;96.7;0
Juquitiba;16/11/2010;13.9;19.66;25.42;52.83;74.715;96.6;9.91
Juquitiba;17/11/2010;14.89;17.49;20.09;85.2;91.4;97.6;4.064
Juquitiba;18/11/2010;14.49;19.42;24.35;62.94;80.17;97.4;2.032
Juquitiba;19/11/2010;9.62;18.41;27.2;31.39;64.345;97.3;0.254
Juquitiba;20/11/2010;13.1;21.525;29.95;25.44;60.77;96.1;0
Juquitiba;21/11/2010;15.03;20.53;26.03;50.5;73.65;96.8;0
Juquitiba;22/11/2010;16.97;23.66;30.35;42.24;69.02;95.8;0
Juquitiba;23/11/2010;17.61;21.385;25.16;64.36;80.78;97.2;35.56
Juquitiba;24/11/2010;17.16;19.255;21.35;82.3;89.7;97.1;2.286
Juquitiba;25/11/2010;17.16;21.85;26.54;65.68;80.84;96;0.508
Juquitiba;26/11/2010;16.43;22.085;27.74;62.65;80.125;97.6;19.81
Juquitiba;27/11/2010;16.9;21.73;26.56;60.32;78.81;97.3;0.508
Juquitiba;28/11/2010;15.76;21.38;27;59.51;78.155;96.8;0
Juquitiba;29/11/2010;17.04;23.93;30.82;31.46;63.78;96.1;0
Juquitiba;30/11/2010;19.78;25.13;30.48;45.65;66.125;86.6;0
Juquitiba;01/12/2010;18.3;23.155;28.01;56.16;75.78;95.4;35.56
Juquitiba;02/12/2010;18.76;22.12;25.48;67.43;81.465;95.5;0.254
Juquitiba;03/12/2010;19.03;24.32;29.61;48.66;72.88;97.1;36.07
Juquitiba;04/12/2010;17.77;24.295;30.82;52.07;74.635;97.2;48.01
Juquitiba;05/12/2010;18.17;22.72;27.27;68.81;82.805;96.8;0.508
Juquitiba;06/12/2010;18.2;22.75;27.3;;0;;0.5
Juquitiba;07/12/2010;16.76;21.325;25.89;67.9;82.55;97.2;2.286
Juquitiba;08/12/2010;17.7;21.125;24.55;77.5;87.25;97;0.508
Juquitiba;09/12/2010;18.43;24.755;31.08;42.9;70.05;97.2;3.302
Juquitiba;10/12/2010;16.89;21.085;25.28;64.14;80.32;96.5;0.254
Juquitiba;11/12/2010;16.96;22.485;28.01;45.85;71.425;97;0.254
Juquitiba;12/12/2010;18.03;23.585;29.14;57.36;77.28;97.2;24.13
Juquitiba;13/12/2010;19.96;25.69;31.42;52.28;73.99;95.7;25.4
Juquitiba;14/12/2010;14.89;20.99;27.09;63.68;80.49;97.3;39.37
Juquitiba;15/12/2010;13.95;15.19;16.43;96.3;97;97.7;33.78
Juquitiba;16/12/2010;16.23;18.025;19.82;86.7;92.1;97.5;7.62
Juquitiba;17/12/2010;18.03;20.425;22.82;86.3;91.85;97.4;19.81
Juquitiba;18/12/2010;14.3;18.45;22.6;;0;;5.3
Juquitiba;19/12/2010;16.49;21.485;26.48;65.08;81.19;97.3;1.016
Juquitiba;20/12/2010;14.4;21.95;29.5;;0;;0
Juquitiba;21/12/2010;19.04;24.425;29.81;56.96;76.98;97;0
Juquitiba;22/12/2010;18.3;24.56;30.82;54.55;75.725;96.9;3.81
Juquitiba;23/12/2010;18.03;23.05;28.07;61.58;79.19;96.8;38.86
Juquitiba;24/12/2010;17.5;21.625;25.75;63.34;80.07;96.8;0.254
Juquitiba;25/12/2010;17.09;22.355;27.62;56.64;76.92;97.2;0
Juquitiba;26/12/2010;18.37;24.49;30.61;52.61;74.855;97.1;0
Juquitiba;27/12/2010;18.83;24.12;29.41;55.35;76.275;97.2;31.5
Juquitiba;28/12/2010;14.49;18.59;22.69;76;86.9;97.8;0.508
Juquitiba;29/12/2010;14.36;19.61;24.86;56.71;77.305;97.9;0.254
Juquitiba;30/12/2010;15.43;21.08;26.73;50.47;73.985;97.5;3.556
Juquitiba;31/12/2010;14.36;18.955;23.55;63.14;80.22;97.3;1.016
Juquitiba;01/01/2011;16.03;20.825;25.62;61;78.8;96.6;1.778
Juquitiba;02/01/2011;17.3;20.76;24.22;66.83;81.865;96.9;1.27
Juquitiba;03/01/2011;18.17;20.295;22.42;84;90.65;97.3;11.18
Juquitiba;04/01/2011;18.7;20.925;23.15;79.2;88.2;97.2;15.75
Juquitiba;05/01/2011;19.76;23.985;28.21;57.03;77.065;97.1;20.57
Juquitiba;06/01/2011;19.22;23.615;28.01;60.58;78.59;96.6;16.26
Juquitiba;07/01/2011;19.63;25.385;31.14;44.24;70.62;97;4.318
Juquitiba;08/01/2011;19.03;23.955;28.88;55.69;76.395;97.1;7.62
Juquitiba;09/01/2011;17.97;23.255;28.54;57.1;77.25;97.4;18.8
Juquitiba;10/01/2011;19.42;24.885;30.35;52.28;74.19;96.1;7.37
Juquitiba;11/01/2011;18.37;24.39;30.41;52.07;74.585;97.1;37.85
Juquitiba;12/01/2011;17.97;22.685;27.4;65.08;81.14;97.2;34.04
Juquitiba;13/01/2011;17.5;22.495;27.49;67.28;82.19;97.1;5.842
Juquitiba;14/01/2011;19.16;23.685;28.21;59.17;77.785;96.4;5.334
Juquitiba;15/01/2011;18.63;22.425;26.22;68.7;82.95;97.2;45.47
Juquitiba;16/01/2011;17.63;23.585;29.54;55.29;76.195;97.1;0.254
Juquitiba;17/01/2011;18.3;24.355;30.41;60.37;78.685;97;4.826
Juquitiba;18/01/2011;19.55;23.12;26.69;62.45;79.175;95.9;6.35
Juquitiba;19/01/2011;19.56;25.115;30.67;47.98;71.89;95.8;0.762
Juquitiba;20/01/2011;19.17;23.755;28.34;58.7;76.75;94.8;2.54
Juquitiba;21/01/2011;19.69;24.515;29.34;52.07;74.085;96.1;0.254
Juquitiba;22/01/2011;18.99;23.73;28.47;61.65;78.925;96.2;47.75
Juquitiba;23/01/2011;19.62;24.98;30.34;56.35;76.375;96.4;2.794
Juquitiba;24/01/2011;16.76;24.015;31.27;51.87;74.585;97.3;28.96
Juquitiba;25/01/2011;17.77;23.825;29.88;55.09;76.145;97.2;0
Juquitiba;26/01/2011;18.37;24.955;31.54;54.54;75.97;97.4;0
Juquitiba;27/01/2011;18.43;24.255;30.08;51.67;74.485;97.3;0.254
Juquitiba;28/01/2011;17.56;24.855;32.15;38.75;67.725;96.7;1.524
Juquitiba;29/01/2011;19.82;26.45;33.08;34.06;65.38;96.7;7.11
Juquitiba;30/01/2011;19.35;26.145;32.94;42.83;69.265;95.7;2.286
Juquitiba;31/01/2011;19.69;25.245;30.8;43.5;69.95;96.4;0.254
Juquitiba;01/02/2011;18.83;23.985;29.14;61.38;78.89;96.4;1.778
Juquitiba;02/02/2011;14;21;28;;0;;2
Juquitiba;03/02/2011;18.96;23.115;27.27;67.4;82.25;97.1;1.27
Juquitiba;04/02/2011;19.16;22.62;26.08;65.14;81.12;97.1;0.762
Juquitiba;05/02/2011;17.36;21.225;25.09;59.2;78;96.8;0
Juquitiba;06/02/2011;18.37;24.72;31.07;41.69;69.245;96.8;0
Juquitiba;07/02/2011;18.68;25.28;31.88;39.89;67.995;96.1;0
Juquitiba;08/02/2011;17.3;23.155;29.01;58.17;77.585;97;1.524
Juquitiba;09/02/2011;18.17;25.455;32.74;35.26;65.58;95.9;0
Juquitiba;10/02/2011;18.5;25.155;31.81;38.82;67.16;95.5;0
Juquitiba;11/02/2011;19.29;25.555;31.82;40.36;67.88;95.4;2.54
Juquitiba;12/02/2011;17.1;23.415;29.73;55.15;75.275;95.4;0
Juquitiba;13/02/2011;19.03;25.385;31.74;41.76;67.53;93.3;0
Juquitiba;14/02/2011;19.56;24.88;30.2;42.89;68.695;94.5;0
Juquitiba;15/02/2011;17.83;23.455;29.08;57.3;77.15;97;6.604
Juquitiba;16/02/2011;18.03;20.355;22.68;86.1;91.6;97.1;10.41
Juquitiba;17/02/2011;18.03;22.985;27.94;66.93;82.015;97.1;2.794
Juquitiba;18/02/2011;17.7;23.42;29.14;50.94;74.27;97.6;0
Juquitiba;19/02/2011;18.89;23.78;28.67;52.88;75.24;97.6;21.59
Juquitiba;20/02/2011;18.1;24.5;30.9;;0;;0
Juquitiba;21/02/2011;18.3;24.3;30.3;;0;;7.9
Juquitiba;22/02/2011;17.43;24.82;32.21;52.53;75.065;97.6;0.508
Juquitiba;23/02/2011;18.16;24.75;31.34;43.43;70.265;97.1;0.762
Juquitiba;24/02/2011;18.3;23.885;29.47;56.55;76.875;97.2;0
Juquitiba;25/02/2011;18.36;23.585;28.81;55.62;76.41;97.2;27.69
Juquitiba;26/02/2011;19.35;23.945;28.54;57.36;77.13;96.9;0
Juquitiba;27/02/2011;18.9;24.09;29.28;62.92;79.51;96.1;0
Juquitiba;28/02/2011;19.09;23.72;28.35;63.73;80.215;96.7;10.16
Juquitiba;01/03/2011;17.77;20.46;23.15;82;89.7;97.4;59.18
Juquitiba;02/03/2011;17.16;20.72;24.28;77.5;87.45;97.4;32.51
Juquitiba;03/03/2011;15.29;17.86;20.43;85.3;90.75;96.2;6.604
Juquitiba;04/03/2011;15.36;18.585;21.81;69.98;83.14;96.3;0.254
Juquitiba;05/03/2011;16.96;19.955;22.95;70.7;83.05;95.4;1.016
Juquitiba;06/03/2011;15.89;18.555;21.22;75.8;86.1;96.4;4.318
Juquitiba;07/03/2011;15.83;19.45;23.07;71.8;84.2;96.6;1.016
Juquitiba;08/03/2011;16.63;19.29;21.95;74.4;85.8;97.2;1.27
Juquitiba;09/03/2011;16.89;20.945;25;60.44;78.77;97.1;2.286
Juquitiba;10/03/2011;16.3;21.29;26.28;65.81;81.505;97.2;0.254
Juquitiba;11/03/2011;17.7;22.22;26.74;65.4;81.1;96.8;0.254
Juquitiba;12/03/2011;19.29;23.38;27.47;60.38;78.19;96;1.27
Juquitiba;13/03/2011;19.16;20.56;21.96;91.7;94.3;96.9;8.38
Juquitiba;14/03/2011;18.63;23.155;27.68;67.42;82.51;97.6;21.34
Juquitiba;15/03/2011;17.9;22.955;28.01;62.18;79.79;97.4;3.556
Juquitiba;16/03/2011;16.02;19.855;23.69;77.4;87.3;97.2;4.572
Juquitiba;17/03/2011;17.3;20.65;24;;0;;0.4
Juquitiba;18/03/2011;17.43;20.355;23.28;77.4;87.35;97.3;1.27
Juquitiba;19/03/2011;18.37;24.155;29.94;56.82;76.86;96.9;0.508
Juquitiba;20/03/2011;15.96;18.26;20.56;87.5;92.2;96.9;6.35
Juquitiba;21/03/2011;15.96;17.69;19.42;82.5;89.75;97;5.842
Juquitiba;22/03/2011;14.3;17.9;21.5;80.2;88.6;97;0
Juquitiba;23/03/2011;15.51;19.695;23.88;67.32;82.16;97;0
Juquitiba;24/03/2011;17.7;23.085;28.47;50.54;74.02;97.5;20.07
Juquitiba;25/03/2011;17.03;22.65;28.27;51.67;74.585;97.5;5.08
Juquitiba;26/03/2011;17.77;23.39;29.01;57.1;77.15;97.2;14.48
Juquitiba;27/03/2011;18.03;24.05;30.07;52.27;74.735;97.2;0
Juquitiba;28/03/2011;19.43;24.99;30.55;51.34;73.77;96.2;7.62
Juquitiba;29/03/2011;21;22.6;24.2;;0;;1.4
Juquitiba;30/03/2011;18.63;21.425;24.22;78.4;87.35;96.3;0.508
Juquitiba;31/03/2011;17.3;19.49;21.68;75.5;86.3;97.1;5.588
Juquitiba;01/04/2011;16;20;24;;0;;0.3
Juquitiba;02/04/2011;17.36;22.55;27.74;58.12;77.56;97;0
Juquitiba;03/04/2011;17.43;22.485;27.54;65.87;81.535;97.2;21.34
Juquitiba;04/04/2011;16.76;18.09;19.42;93.1;95.15;97.2;8.13
Juquitiba;05/04/2011;15.3;18.365;21.43;88.2;93.05;97.9;1.778
Juquitiba;06/04/2011;14.63;20.365;26.1;67.03;82.565;98.1;18.29
Juquitiba;07/04/2011;14.9;20.62;26.34;50.27;74.185;98.1;0
Juquitiba;08/04/2011;15.7;19.99;24.28;60.54;78.47;96.4;0
Juquitiba;09/04/2011;12.96;19.585;26.21;57.04;77.47;97.9;0
Juquitiba;10/04/2011;13.29;19.62;25.95;53.97;75.935;97.9;27.18
Juquitiba;11/04/2011;13.63;17.485;21.34;74.4;86.1;97.8;8.38
Juquitiba;12/04/2011;13.96;20.75;27.54;46.86;72.38;97.9;0
Juquitiba;13/04/2011;15.57;22.125;28.68;50.74;74.12;97.5;12.7
Juquitiba;14/04/2011;13.36;18.265;23.17;65.38;81.34;97.3;0
Juquitiba;15/04/2011;14.63;23.255;31.88;33.8;65.45;97.1;0
Juquitiba;16/04/2011;17.83;23.99;30.15;46.99;71.795;96.6;0
Juquitiba;17/04/2011;19.03;24.925;30.82;45.38;70.59;95.8;0
Juquitiba;18/04/2011;18.89;23.58;28.27;48.73;72.115;95.5;0
Juquitiba;19/04/2011;18.97;24.09;29.21;50.47;72.785;95.1;0
Juquitiba;20/04/2011;18.23;22.16;26.09;60.06;77.93;95.8;1.27
Juquitiba;21/04/2011;15.76;21.415;27.07;55.97;76.835;97.7;0.254
Juquitiba;22/04/2011;16.44;22.49;28.54;45.18;71.39;97.6;0
Juquitiba;23/04/2011;15.56;22.88;30.2;37.81;67.155;96.5;0
Juquitiba;24/04/2011;15.76;22.55;29.34;41.03;69.115;97.2;7.37
Juquitiba;25/04/2011;16.16;18.26;20.36;83.4;90.3;97.2;2.032
Juquitiba;26/04/2011;15.63;19.525;23.42;73.3;84.25;95.2;0.508
Juquitiba;27/04/2011;11.5;15.895;20.29;67.26;82.33;97.4;0
Juquitiba;28/04/2011;11.9;16.23;20.56;59.55;78.475;97.4;0.254
Juquitiba;29/04/2011;11.89;14.39;16.89;86.8;92.45;98.1;0.762
Juquitiba;30/04/2011;11.95;18.28;24.61;53.23;75.715;98.2;0
Juquitiba;01/05/2011;13.02;19.88;26.74;32.47;64.285;96.1;0
Juquitiba;02/05/2011;13.63;19.035;24.44;62.5;79.25;96;7.62
Juquitiba;03/05/2011;11.62;17.15;22.68;62.88;80.29;97.7;0
Juquitiba;04/05/2011;11.69;16.18;20.67;51.77;74.785;97.8;0
Juquitiba;05/05/2011;10.36;16.52;22.68;52.3;75.05;97.8;0
Juquitiba;06/05/2011;10.36;18.35;26.34;29.86;63.93;98;0
Juquitiba;07/05/2011;11.03;19.315;27.6;39.3;68.25;97.2;0
Juquitiba;08/05/2011;11.49;16.985;22.48;64.89;81.245;97.6;0
Juquitiba;09/05/2011;11.43;19.25;27.07;49.06;73.43;97.8;0.254
Juquitiba;10/05/2011;13.63;17.36;21.09;77.6;87.25;96.9;1.524
Juquitiba;11/05/2011;16.17;19.26;22.35;69.04;82.82;96.6;0.254
Juquitiba;12/05/2011;14.3;20.355;26.41;53.02;75.31;97.6;0
Juquitiba;13/05/2011;14.36;19.185;24.01;60.2;78.95;97.7;4.318
Juquitiba;14/05/2011;12.15;15.025;17.9;83;90.1;97.2;2.794
Juquitiba;15/05/2011;10.56;14.72;18.88;67.06;82.23;97.4;0.254
Juquitiba;16/05/2011;10.9;16.895;22.89;67.04;82.32;97.6;5.334
Juquitiba;17/05/2011;10.56;15.315;20.07;61.88;79.84;97.8;16.51
Juquitiba;18/05/2011;11.03;13.66;16.29;69.63;83.415;97.2;3.81
Juquitiba;19/05/2011;11.17;14.225;17.28;59.5;78.3;97.1;0
Juquitiba;20/05/2011;10.9;15.495;20.09;63.31;80.405;97.5;0
Juquitiba;21/05/2011;11.56;15.985;20.41;64.11;80.805;97.5;0
Juquitiba;22/05/2011;11.3;16.89;22.48;48.62;72.86;97.1;0
Juquitiba;23/05/2011;7.35;16.01;24.67;35.21;66.755;98.3;0
Juquitiba;24/05/2011;7.56;15.92;24.28;37.7;68;98.3;0
Juquitiba;25/05/2011;10.96;17.385;23.81;51.82;74.51;97.2;0
Juquitiba;26/05/2011;12.7;19.285;25.87;37.15;67.225;97.3;0
Juquitiba;27/05/2011;13.56;19.525;25.49;42.59;68.795;95;0
Juquitiba;28/05/2011;11.82;15.12;18.42;74.6;85.5;96.4;1.778
Juquitiba;29/05/2011;5.682;11.021;16.36;76.3;87.25;98.2;0.762
Juquitiba;30/05/2011;5.615;114.475;17.28;56.29;77.295;98.3;0
Juquitiba;31/05/2011;8.02;13.22;18.42;64.91;81.505;98.1;0
Juquitiba;01/06/2011;8.95;14.745;20.54;62.88;80.39;97.9;0
Juquitiba;02/06/2011;7.22;14.045;20.87;49.49;73.945;98.4;0
Juquitiba;03/06/2011;7.08;14.245;21.41;53.37;75.935;98.5;0.254
Juquitiba;04/06/2011;7.28;14.725;22.17;57.59;77.495;97.4;0
Juquitiba;05/06/2011;5.816;12.978;20.14;60.74;79.12;97.5;0.254
Juquitiba;06/06/2011;4.287;97.535;15.22;56.29;77.195;98.1;0.508
Juquitiba;07/06/2011;4.489;138.145;23.14;46.41;72.405;98.4;0
Juquitiba;08/06/2011;7;12.55;18.1;;0;;16
Juquitiba;09/06/2011;5.418;11.779;18.14;53.78;75.44;97.1;0.254
Juquitiba;10/06/2011;8.56;11.03;13.5;83.6;90.45;97.3;25.65
Juquitiba;11/06/2011;4.012;10.881;17.75;64.38;81.39;98.4;0
Juquitiba;12/06/2011;4.014;11.137;18.26;48.82;73.71;98.6;0
Juquitiba;13/06/2011;7.35;14.415;21.48;53.37;75.935;98.5;0.254
Juquitiba;14/06/2011;7.42;16.08;24.74;42.31;70.455;98.6;0
Juquitiba;15/06/2011;9.09;11.595;14.1;88.8;93.4;98;0.508
Juquitiba;16/06/2011;8.69;14.085;19.48;60.29;78.495;96.7;0
Juquitiba;17/06/2011;5.42;13.71;22;41.78;69.64;97.5;0.254
Juquitiba;18/06/2011;5.421;142.505;23.08;39.11;68.455;97.8;0
Juquitiba;19/06/2011;6.688;15.744;24.8;45.99;71.945;97.9;0
Juquitiba;20/06/2011;8.49;16.88;25.27;45.99;72.045;98.1;0.254
Juquitiba;21/06/2011;8.83;17.32;25.81;36.89;67.195;97.5;0
Juquitiba;22/06/2011;9.96;18.29;26.62;39.56;68.28;97;0
Juquitiba;23/06/2011;13.09;15.79;18.49;81.3;89.35;97.4;1.016
Juquitiba;24/06/2011;12.49;18.15;23.81;60.53;79.115;97.7;0
Juquitiba;25/06/2011;12.22;19.375;26.53;33.4;65.7;98;0
Juquitiba;26/06/2011;13.23;17.385;21.54;70.8;84.45;98.1;0
Juquitiba;27/06/2011;9.22;13.895;18.57;81.2;89.55;97.9;38.86
Juquitiba;28/06/2011;-0.53;7.07;14.67;47.43;73.265;99.1;2.032
Juquitiba;29/06/2011;-0.329;90.355;18.4;26.19;62.595;99;0.254
Juquitiba;30/06/2011;1.479;123.145;23.15;30.4;64.05;97.7;0
Juquitiba;01/07/2011;10.36;14.255;18.15;76.7;87;97.3;0
Juquitiba;02/07/2011;12.35;17.125;21.9;71.4;84.55;97.7;0
Juquitiba;03/07/2011;12.35;15.09;17.83;80.4;89;97.6;0
Juquitiba;04/07/2011;7.75;12.02;16.29;94.5;95.95;97.4;3.81
Juquitiba;05/07/2011;7.55;9.52;11.49;73.1;85.3;97.5;0
Juquitiba;06/07/2011;8.56;13.715;18.87;59.08;77.84;96.6;0
Juquitiba;07/07/2011;9.89;13.35;16.81;73.1;85.15;97.2;0
Juquitiba;08/07/2011;4.742;8.881;13.02;85;91.55;98.1;0
Juquitiba;09/07/2011;4.743;110.365;17.33;52.79;75.595;98.4;0
Juquitiba;10/07/2011;3.681;120.455;20.41;47.82;73.11;98.4;0.254
Juquitiba;11/07/2011;4.087;145.835;25.08;36.96;67.68;98.4;0
Juquitiba;12/07/2011;8.42;17.98;27.54;34.74;66.32;97.9;0
Juquitiba;13/07/2011;10.36;18.755;27.15;36.48;67.24;98;0
Juquitiba;14/07/2011;11.3;19.585;27.87;36.48;66.89;97.3;0
Juquitiba;15/07/2011;10.29;18.38;26.47;42.98;70.54;98.1;0.254
Juquitiba;16/07/2011;7.75;17.145;26.54;29.99;64.095;98.2;0
Juquitiba;17/07/2011;7.82;17.15;26.48;26.58;61.79;97;0.254
Juquitiba;18/07/2011;8.49;17.855;27.22;38.31;66.955;95.6;0
Juquitiba;19/07/2011;13.76;18.725;23.69;56.72;77.16;97.6;6.35
