Local;Data;Mínima;Média;Máxima;Mínima;Média;Máxima;Precipitação (mm)
Juquitiba;11/08/2008;10.14;15;19.86;66.56;82.58;98.6;0
Juquitiba;12/08/2008;10.28;17.995;25.71;53.61;76.255;98.9;0
Juquitiba;13/08/2008;13.41;21.03;28.65;38.01;68.105;98.2;0.254
Juquitiba;14/08/2008;14.33;15.435;16.54;87.9;92.4;96.9;2.794
Juquitiba;15/08/2008;13.21;17.805;22.4;64.41;81.655;98.9;5.334
Juquitiba;16/08/2008;11.67;16.605;21.54;64.36;81.63;98.9;0.508
Juquitiba;17/08/2008;11.62;19.935;28.25;31.18;64.79;98.4;0
Juquitiba;18/08/2008;9.87;19.425;28.98;25.63;61.115;96.6;0
Juquitiba;19/08/2008;9.47;19.855;30.24;19.33;57.915;96.5;0
Juquitiba;20/08/2008;7.66;18.525;29.39;21.01;60.055;99.1;0.254
Juquitiba;21/08/2008;8.27;18.36;28.45;20.41;59.755;99.1;0
Juquitiba;22/08/2008;10.94;19.56;28.18;28.97;64.085;99.2;1.27
Juquitiba;23/08/2008;13.14;17.24;21.34;67.29;83.095;98.9;2.032
Juquitiba;24/08/2008;13.21;15.47;17.73;82.2;90;97.8;0.762
Juquitiba;25/08/2008;11.67;17.695;23.72;63.32;81.26;99.2;0.254
Juquitiba;26/08/2008;11.28;20.5;29.72;21.21;60.105;99;0.254
Juquitiba;27/08/2008;9.54;17;24.46;58.49;78.795;99.1;0
Juquitiba;28/08/2008;8.87;16.03;23.19;46.2;73.1;100;0.254
Juquitiba;29/08/2008;9.27;19.23;29.19;20.07;59.885;99.7;0
Juquitiba;30/08/2008;11.21;18.665;26.12;43.3;69.65;96;1.524
Juquitiba;31/08/2008;8.67;10.705;12.74;83.8;90.95;98.1;0.508
Juquitiba;01/09/2008;9.61;14.44;19.27;56.65;77.625;98.6;0.254
Juquitiba;02/09/2008;7.48;16.54;25.6;42.77;70.885;99;0
Juquitiba;03/09/2008;8.89;19.17;29.45;20.47;59.485;98.5;0.254
Juquitiba;04/09/2008;10.68;20.665;30.65;22.61;59.155;95.7;0
Juquitiba;05/09/2008;11.75;22.03;32.31;17.59;57.545;97.5;0.762
